Rank,Name,Position,Team,Weekly Salary,year
162.0,Etienne Capoue,Midfielder,WAT,35000,2015
162.0,James Collins,Defender,WHUFC,35000,2015
181.0,Jon Flanagan,Defender,LFC,33000,2015
181.0,Stephen Ireland,Midfielder,SCFC,33000,2015
181.0,Joselu Mato,Forward,SCFC,33000,2015
181.0,Marc Muniesa,Defender,SCFC,33000,2015
185.0,Kyle Naughton,Defender,SCAFC,32000,2015
186.0,Phil Bardsley,Defender,SCFC,31000,2015
187.0,Josh McEachran,Midfielder,CFC,30062,2015
188.0,Simon Francis,Defender,BOU,30000,2015
188.0,Joel Campbell,Forward,AFC,30000,2015
188.0,Francis Coquelin,Midfielder,AFC,30000,2015
188.0,Alex Iwobi,Forward,AFC,30000,2015
188.0,Andreas Weimann,Forward,AVFC,30000,2015
188.0,Pape Souare,Defender,CP,30000,2015
188.0,Adam Bogdan,Goalkeeper,LFC,30000,2015
188.0,Simon Mignolet,Goalkeeper,LFC,30000,2015
188.0,Florin Gardos,Defender,SFC,30000,2015
188.0,Glen Johnson,Defender,SCFC,30000,2015
188.0,Jordi Amat,Defender,SCAFC,30000,2015
188.0,Jose Holebas,Defender,WAT,30000,2015
188.0,Craig Dawson,Defender,WBAFC,30000,2015
188.0,Sam Byram,Defender,WHUFC,30000,2015
188.0,Cheikhou Kouyate,Midfielder,WHUFC,30000,2015
188.0,Diafra Sakho,Forward,WHUFC,30000,2015
204.0,Lewis Grabban,Forward,BOU,29000,2015
205.0,Joe Bennett,Defender,AVFC,28317,2015
206.0,Jordon Mutch,Midfielder,CP,28000,2015
206.0,Luke Garbutt,Defender,EFC,28000,2015
206.0,Divock Origi,Forward,LFC,28000,2015
206.0,Maya Yoshida,Defender,SFC,28000,2015
206.0,Callum McManaman,Forward,WBAFC,28000,2015
211.0,Mohamed Elneny,Midfielder,AFC,27500,2015
211.0,Muhamed Besic,Midfielder,EFC,27500,2015
213.0,Leonardo Ulloa,Forward,LC,27000,2015
214.0,Toni Luna,Defender,AVFC,26282,2015
215.0,Ashley Westwood,Midfielder,AVFC,25739,2015
216.0,Marc Pugh,Midfielder,BOU,25000,2015
216.0,Gabriel Paulista,Defender,AFC,25000,2015
216.0,Andre Gray,Forward,BFC,25000,2015
216.0,Robert Kenedy,Midfielder,CFC,25000,2015
216.0,Martin Kelly,Defender,CP,25000,2015
216.0,Joe Ledley,Midfielder,CP,25000,2015
216.0,Chung-Yong Lee,Forward,CP,25000,2015
216.0,Mason Holgate,Defender,EFC,25000,2015
216.0,Matty James,Midfielder,LC,25000,2015
216.0,Jason Denayer,Defender,MCFC,25000,2015
216.0,Bruno Zuculini,Midfielder,MCFC,25000,2015
216.0,Karl Darlow,Goalkeeper,NUFC,25000,2015
216.0,Jonathan Walters,Forward,SCFC,25000,2015
216.0,Dele Alli,Midfielder,THFC,25000,2015
216.0,Miguel Britos,Defender,WAT,25000,2015
216.0,Heurelho Gomes,Goalkeeper,WAT,25000,2015
216.0,Costel Pantilimon,Goalkeeper,WAT,25000,2015
216.0,Michail Antonio,Midfielder,WHUFC,25000,2015
234.0,Aleksandar Tonev,Midfielder,AVFC,23558,2015
235.0,Scott Arfield,Midfielder,BFC,23000,2015
235.0,Tomas Kalas,Defender,CFC,23000,2015
235.0,Brendan Galloway,Defender,EFC,23000,2015
238.0,Michael Keane,Defender,BFC,22000,2015
238.0,Dean Marney,Midfielder,BFC,22000,2015
238.0,James Tarkowski,Defender,BFC,22000,2015
238.0,Steven Berghuis,Forward,WAT,22000,2015
242.0,Joe Cole,Midfielder,AVFC,21154,2015
243.0,Daniel Amartey,Midfielder,LC,21000,2015
244.0,Leandro Bacuna,Midfielder,AVFC,20641,2015
245.0,Yacouba Sylla,Midfielder,AVFC,20144,2015
246.0,Nathan Ake,Defender,CFC,20041,2015
247.0,Dan Gosling,Midfielder,BOU,20000,2015
247.0,Callum Wilson,Forward,BOU,20000,2015
247.0,Yaya Sanogo,Forward,AFC,20000,2015
247.0,Tomer Hemed,Forward,BHA,20000,2015
247.0,Uwe Hunemeier,Defender,BHA,20000,2015
247.0,Jamie Murphy,Forward,BHA,20000,2015
247.0,Liam Rosenior,Defender,BHA,20000,2015
247.0,Jiri Skalak,Forward,BHA,20000,2015
247.0,George Boyd,Midfielder,BFC,20000,2015
247.0,Lewis Baker,Midfielder,CFC,20000,2015
247.0,Kasey Palmer,Midfielder,CFC,20000,2015
247.0,Zeki Fryers,Defender,CP,20000,2015
247.0,Wayne Hennessey,Goalkeeper,CP,20000,2015
247.0,Joel Robles,Goalkeeper,EFC,20000,2015
247.0,Sean Scannell,Forward,HUD,20000,2015
247.0,Andreas Pereira,Midfielder,MUFC,20000,2015
247.0,James Wilson,Forward,MUFC,20000,2015
247.0,Sammy Ameobi,Midfielder,NUFC,20000,2015
247.0,Paul Dummett,Defender,NUFC,20000,2015
