No,Name,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,year
596,Tom Cleverley,Aston Villa,32,2633,3,3,0,1.79,1.79,1.35,5.82,4.16,0.06,0.06,0.05,0.11,0.11,0.2,0.14,2014
614,Fernandinho,Manchester City,33,2283,3,3,3,2.41,2.41,2.7,13.15,9.67,0.09,0.09,0.11,0.2,0.2,0.52,0.38,2014
641,Danny Rose,Tottenham,28,2386,3,3,4,1.67,1.67,2.91,10.74,7.36,0.06,0.06,0.11,0.17,0.17,0.41,0.28,2014
686,Cesc Fabregas,Chelsea,34,2895,3,3,18,3.25,3.25,10.15,23.01,16.97,0.1,0.1,0.32,0.42,0.42,0.72,0.53,2014
712,Jack Cork,Southampton,27,1795,3,3,0,3.13,3.13,0.71,8.95,7.32,0.16,0.16,0.04,0.19,0.19,0.45,0.37,2014
719,Wayne Routledge,Swansea,29,2327,3,3,1,3.86,3.86,2.31,8.54,3.12,0.15,0.15,0.09,0.24,0.24,0.33,0.12,2014
733,Jack Rodwell,Sunderland,23,1483,3,3,0,2.48,2.48,0.28,5.96,4.82,0.15,0.15,0.02,0.17,0.17,0.36,0.29,2014
740,Sebastian Larsson,Sunderland,36,3079,3,3,3,2.72,2.72,3.49,8.63,5.84,0.08,0.08,0.1,0.18,0.18,0.25,0.17,2014
757,Jeffrey Schlupp,Leicester,32,2557,3,3,2,2.3,2.3,1.55,7.16,3.82,0.08,0.08,0.05,0.14,0.14,0.25,0.13,2014
769,Jonjo Shelvey,Swansea,31,2471,3,2,5,4.55,3.79,2.94,11.99,7.1,0.17,0.14,0.11,0.27,0.25,0.44,0.26,2014
783,Nathan Dyer,Swansea,32,1879,3,3,2,2.02,2.02,2.24,8.58,5.94,0.1,0.1,0.11,0.2,0.2,0.41,0.28,2014
812,Craig Gardner,West Bromwich Albion,35,2697,3,3,4,3.34,3.34,3.34,8.16,4.23,0.11,0.11,0.11,0.22,0.22,0.27,0.14,2014
818,Victor Anichebe,West Bromwich Albion,21,1019,3,3,1,1.85,1.85,1.33,3.21,1.09,0.16,0.16,0.12,0.28,0.28,0.28,0.1,2014
836,Victor Wanyama,Southampton,32,2367,3,3,1,1.72,1.72,0.93,7.77,5.48,0.07,0.07,0.04,0.1,0.1,0.3,0.21,2014
1737,Matt Phillips,Queens Park Rangers,25,1827,3,3,8,3.09,3.09,3.04,5.41,1.11,0.15,0.15,0.15,0.3,0.3,0.27,0.05,2014
2413,Steven Nzonzi,Stoke,38,3381,3,3,1,2.54,2.54,1.79,9.02,6.26,0.07,0.07,0.05,0.12,0.12,0.24,0.17,2014
